Gemeinde;Straﬂenschl¸ssel;Straﬂenname;Hausnummer;BP Position (ETRS89_UTM32 (mm));BP Kennzeichen (ETRS89_UTM32 (mm))
Stadt Flensburg;00037;Am Sophienhof;3;526859251.000,6068523000.000 ;526861268.000,6068522987.000 
Stadt Flensburg;00186;Friedrichshˆh;15;527185923.000,6073907201.000 ;527181308.000,6073913134.000 
Stadt Flensburg;00043;Annenstraﬂe;1;527128441.000,6073766216.000 ;527116542.000,6073765707.000 
Stadt Flensburg;00043;Annenstraﬂe;;527271196.000,6073802508.000 ;527266229.000,6073803813.000 
Stadt Flensburg;00186;Friedrichshˆh;18;527205618.000,6073986166.000 ;527208966.000,6073985366.000 
Stadt Flensburg;00187;Friedrichstal;56;527153268.000,6074005717.000 ;527150599.000,6074001010.000 
Stadt Flensburg;00046;Apenrader Straﬂe;;527101232.000,6073981042.000 ;527096848.000,6073982609.000 
Stadt Flensburg;00187;Friedrichstal;32;527287600.000,6073811084.000 ;527284426.000,6073808240.000 
Stadt Flensburg;00187;Friedrichstal;20;527318970.000,6073716724.000 ;527319881.000,6073719402.000 
Stadt Flensburg;00187;Friedrichstal;27b;527249281.000,6073701439.000 ;527248704.000,6073703662.000 
Stadt Flensburg;00029;Am Ostseebad;21;527497240.000,6073922368.000 ;527500372.000,6073923453.000 
Stadt Flensburg;00463;Ostseebadweg;37;527358699.000,6073591332.000 ;527361285.000,6073591684.000 
Stadt Flensburg;00463;Ostseebadweg;1;527174748.000,6073529128.000 ;527176234.000,6073531328.000 
Stadt Flensburg;00574;Steinstraﬂe;13;527355086.000,6073179741.000 ;527352637.000,6073181286.000 
Stadt Flensburg;00615;Trollseeweg;29;527371481.000,6073566894.000 ;527373429.000,6073566383.000 
Stadt Flensburg;00068;Batteriestraﬂe;;527546488.000,6073084480.000 ;527546022.000,6073085919.000 
Stadt Flensburg;00456;Ochsenweg;89;525493045.000,6068423551.000 ;525487523.000,6068424916.000 
Stadt Flensburg;00456;Ochsenweg;38;525733704.000,6067939496.000 ;525731518.000,6067933538.000 
Stadt Flensburg;00537;Sylter Straﬂe;5;525864939.000,6067902585.000 ;525867020.000,6067902165.000 
Stadt Flensburg;00537;Sylter Straﬂe;12a;525890379.000,6067875738.000 ;525891709.000,6067872340.000 
Stadt Flensburg;00456;Ochsenweg;30;525775616.000,6067858463.000 ;525767117.000,6067858592.000 
Stadt Flensburg;00456;Ochsenweg;28;525790298.000,6067836525.000 ;525784238.000,6067834119.000 
Stadt Flensburg;00267;Husumer Straﬂe;;525675609.000,6067379706.000 ;525669922.000,6067380713.000 
Stadt Flensburg;00025;Ahornweg;9;525523995.000,6067535684.000 ;525521544.000,6067538504.000 
Stadt Flensburg;00272;Holunderweg;3;525720481.000,6067542828.000 ;525713421.000,6067545077.000 
Stadt Flensburg;00451;Nikolaus-Matthiesen-Str.;48;525769937.000,6067526513.000 ;525770212.000,6067522998.000 
Stadt Flensburg;00025;Ahornweg;14;525484065.000,6067550489.000 ;525486766.000,6067552715.000 
Stadt Flensburg;00025;Ahornweg;20;525547528.000,6067595387.000 ;525546025.000,6067592507.000 
Stadt Flensburg;00355;L‰ngs der Bahn;50;525488738.000,6067686140.000 ;525490467.000,6067687825.000 
Stadt Flensburg;00355;L‰ngs der Bahn;38;525500570.000,6067663096.000 ;525506477.000,6067659693.000 
Stadt Flensburg;00451;Nikolaus-Matthiesen-Str.;20;525671023.000,6067670304.000 ;525672463.000,6067675274.000 
