Gemeinde;Straﬂenschl¸ssel;Straﬂenname;Hausnummer;BP Position (ETRS89_UTM32 (mm));BP Kennzeichen (ETRS89_UTM32 (mm))
Stadt Flensburg;00445;Norderhofenden;10;528035819.000,6071290993.000 ;528024969.000,6071306526.000 
Stadt Flensburg;00445;Norderhofenden;13;528012154.000,6071326494.000 ;528010241.000,6071331615.000 
Stadt Flensburg;00445;Norderhofenden;17;527987657.000,6071357708.000 ;527991470.000,6071351547.000 
Stadt Flensburg;00542;Schiffbr¸cke;;527902308.000,6071525730.000 ;527904807.000,6071528229.000 
Stadt Flensburg;00430;Nane-J¸rgensen-Weg;;527721549.000,6069913287.000 ;527718686.000,6069914425.000 
Stadt Flensburg;00430;Nane-J¸rgensen-Weg;;527750150.000,6069904273.000 ;527750260.000,6069901684.000 
Stadt Flensburg;00430;Nane-J¸rgensen-Weg;;527778593.000,6069895310.000 ;527770665.000,6069893488.000 
Stadt Flensburg;00437;Neustadt;;527571350.000,6072213508.000 ;527571663.000,6072212394.000 
Stadt Flensburg;00437;Neustadt;;527539116.000,6072244404.000 ;527541005.000,6072244216.000 
Stadt Flensburg;00661;Werftstraﬂe;;527560122.000,6072321360.000 ;527561424.000,6072320267.000 
Stadt Flensburg;00661;Werftstraﬂe;;527535162.000,6072345331.000 ;527536144.000,6072343742.000 
Stadt Flensburg;00661;Werftstraﬂe;;527517339.000,6072353282.000 ;527515419.000,6072352037.000 
Stadt Flensburg;00204;Friesische L¸cke;;526951347.000,6070025584.000 ;526948188.000,6070027209.000 
Stadt Flensburg;00204;Friesische L¸cke;;526987189.000,6070027234.000 ;526984730.000,6070028558.000 
Stadt Flensburg;00204;Friesische L¸cke;;527015154.000,6070029503.000 ;527012600.000,6070030979.000 
Stadt Flensburg;00204;Friesische L¸cke;;527050063.000,6070033569.000 ;527047328.000,6070034986.000 
Stadt Flensburg;00204;Friesische L¸cke;;527160963.000,6070050453.000 ;527157958.000,6070052055.000 
Stadt Flensburg;00204;Friesische L¸cke;;527112635.000,6070042021.000 ;527109347.000,6070043213.000 
Stadt Flensburg;00204;Friesische L¸cke;;527080174.000,6070037690.000 ;527077667.000,6070038888.000 
Stadt Flensburg;00204;Friesische L¸cke;;527191608.000,6070038241.000 ;527189394.000,6070039939.000 
Stadt Flensburg;00204;Friesische L¸cke;;527219674.000,6070026761.000 ;527217016.000,6070028548.000 
Stadt Flensburg;00204;Friesische L¸cke;;527245891.000,6070083059.000 ;527243337.000,6070084352.000 
Stadt Flensburg;00204;Friesische L¸cke;;527233563.000,6070052042.000 ;527234701.000,6070051151.000 
Stadt Flensburg;00267;Husumer Straﬂe;18;527550657.000,6069981900.000 ;527545821.000,6069985879.000 
Stadt Flensburg;00267;Husumer Straﬂe;61;527528137.000,6069955139.000 ;527528874.000,6069952001.000 
Stadt Flensburg;00430;Nane-J¸rgensen-Weg;11;527861030.000,6069901261.000 ;527856099.000,6069895004.000 
Stadt Flensburg;00430;Nane-J¸rgensen-Weg;13;527835857.000,6069896852.000 ;527835830.000,6069899282.000 
Stadt Flensburg;00430;Nane-J¸rgensen-Weg;;527806396.000,6069891762.000 ;527799762.000,6069892488.000 
Stadt Flensburg;00430;Nane-J¸rgensen-Weg;5;527890844.000,6069906355.000 ;527885553.000,6069901206.000 
Stadt Flensburg;00398;Martinsberg;8;527857028.000,6070007342.000 ;527853152.000,6070008652.000 
Stadt Flensburg;00267;Husumer Straﬂe;;527507293.000,6069951628.000 ;527508854.000,6069950257.000 
Stadt Flensburg;00267;Husumer Straﬂe;;527443459.000,6069872850.000 ;527446098.000,6069873138.000 
Stadt Flensburg;00267;Husumer Straﬂe;;527467405.000,6069903368.000 ;527461026.000,6069903535.000 
Stadt Flensburg;00267;Husumer Straﬂe;;527487342.000,6069927204.000 ;527489446.000,6069926647.000 
Stadt Flensburg;00543;Schiffbr¸ckstraﬂe;6;527878498.000,6071424808.000 ;527872334.000,6071425959.000 
Stadt Flensburg;00542;Schiffbr¸cke;10;527874459.000,6071503830.000 ;527876925.000,6071503166.000 
Stadt Flensburg;00542;Schiffbr¸cke;9;527874573.000,6071491974.000 ;527875916.000,6071491461.000 
Stadt Flensburg;00542;Schiffbr¸cke;5;527875506.000,6071471068.000 ;527868444.000,6071468209.000 
Stadt Flensburg;00542;Schiffbr¸cke;3;527879859.000,6071442582.000 ;527873148.000,6071440046.000 
Stadt Flensburg;00224;Groﬂe Straﬂe;89;527892092.000,6071463968.000 ;527891602.000,6071464862.000 
Stadt Flensburg;00224;Groﬂe Straﬂe;89;527891709.000,6071468765.000 ;527891480.000,6071466532.000 
Stadt Flensburg;00224;Groﬂe Straﬂe;89;527891172.000,6071472182.000 ;527890424.000,6071473195.000 
Stadt Flensburg;00224;Groﬂe Straﬂe;89;527886325.000,6071471614.000 ;527881214.000,6071472440.000 
Stadt Flensburg;00224;Groﬂe Straﬂe;89;527886466.000,6071468304.000 ;527880993.000,6071465538.000 
Stadt Flensburg;00542;Schiffbr¸cke;5;527876239.000,6071462520.000 ;527877292.000,6071462877.000 
Stadt Flensburg;00542;Schiffbr¸cke;4;527877089.000,6071452719.000 ;527870348.000,6071452787.000 
Stadt Flensburg;00542;Schiffbr¸cke;11;527874678.000,6071515888.000 ;527874603.000,6071518708.000 
Stadt Flensburg;00542;Schiffbr¸cke;11;528006819.000,6071369938.000 ;528008718.000,6071368622.000 
Stadt Flensburg;00542;Schiffbr¸cke;11;527998468.000,6071379041.000 ;527995228.000,6071376063.000 
Stadt Flensburg;00542;Schiffbr¸cke;11;527987267.000,6071391043.000 ;527989292.000,6071394057.000 
Stadt Flensburg;00542;Schiffbr¸cke;11;527976079.000,6071403048.000 ;527972907.000,6071402504.000 
Stadt Flensburg;00542;Schiffbr¸cke;11;527964683.000,6071415124.000 ;527966307.000,6071418613.000 
Stadt Flensburg;00542;Schiffbr¸cke;11;527953309.000,6071427988.000 ;527949465.000,6071428265.000 
Stadt Flensburg;00542;Schiffbr¸cke;11;527933438.000,6071455941.000 ;527930074.000,6071453737.000 
Stadt Flensburg;00542;Schiffbr¸cke;11;527943641.000,6071440550.000 ;527945386.000,6071444090.000 
Stadt Flensburg;00136;Eckenerstraﬂe;;526909188.000,6072459368.000 ;526912043.000,6072458003.000 
Stadt Flensburg;00242;Harrisleer Straﬂe;47;526919146.000,6072487793.000 ;526918722.000,6072483178.000 
Stadt Flensburg;00404;Meisenstraﬂe;;526962157.000,6072537241.000 ;526962626.000,6072536718.000 
Stadt Flensburg;00404;Meisenstraﬂe;;526954704.000,6072570921.000 ;526947117.000,6072570797.000 
Stadt Flensburg;00404;Meisenstraﬂe;7;526938364.000,6072612182.000 ;526931061.000,6072612120.000 
Stadt Flensburg;00404;Meisenstraﬂe;13;526917383.000,6072656945.000 ;526916733.000,6072658124.000 
Stadt Flensburg;00404;Meisenstraﬂe;;526953290.000,6072676091.000 ;526950431.000,6072677455.000 
Stadt Flensburg;00404;Meisenstraﬂe;;527002554.000,6072692132.000 ;527000126.000,6072693853.000 
Stadt Flensburg;00404;Meisenstraﬂe;;527030782.000,6072705385.000 ;527024786.000,6072704941.000 
Stadt Flensburg;00069;Bauer Landstraﬂe;;527066036.000,6072691967.000 ;527061133.000,6072693450.000 
Stadt Flensburg;00069;Bauer Landstraﬂe;;527113553.000,6072672041.000 ;527111376.000,6072673861.000 
Stadt Flensburg;00069;Bauer Landstraﬂe;;527152809.000,6072637340.000 ;527149032.000,6072639178.000 
Stadt Flensburg;00069;Bauer Landstraﬂe;16;527059163.000,6072733982.000 ;527056386.000,6072735477.000 
Stadt Flensburg;00542;Schiffbr¸cke;;527919806.000,6071486318.000 ;527915986.000,6071485831.000 
Stadt Flensburg;00542;Schiffbr¸cke;;527910242.000,6071534362.000 ;527906484.000,6071535923.000 
Stadt Flensburg;00542;Schiffbr¸cke;;527926122.000,6071470431.000 ;527928621.000,6071472930.000 
Stadt Flensburg;00542;Schiffbr¸cke;;527912542.000,6071518202.000 ;527915041.000,6071520701.000 
Stadt Flensburg;00542;Schiffbr¸cke;;527915682.000,6071501502.000 ;527918181.000,6071504001.000 
Stadt Flensburg;00542;Schiffbr¸cke;;527912400.000,6071551330.000 ;527914899.000,6071553829.000 
Stadt Flensburg;00542;Schiffbr¸cke;;527890971.000,6071670811.000 ;527893417.000,6071674362.000 
Stadt Flensburg;00542;Schiffbr¸cke;;527893220.000,6071646191.000 ;527895637.000,6071650276.000 
Stadt Flensburg;00542;Schiffbr¸cke;;527894900.000,6071599731.000 ;527897618.000,6071599272.000 
Stadt Flensburg;00542;Schiffbr¸cke;;527897283.000,6071580465.000 ;527898916.000,6071579364.000 
Stadt Flensburg;00542;Schiffbr¸cke;;527891417.000,6071620970.000 ;527894586.000,6071621765.000 
Stadt Flensburg;00542;Schiffbr¸cke;;527891220.000,6071793632.000 ;527893719.000,6071796131.000 
Stadt Flensburg;00542;Schiffbr¸cke;;527893093.000,6071770551.000 ;527895592.000,6071773050.000 
Stadt Flensburg;00542;Schiffbr¸cke;;527892752.000,6071747364.000 ;527895251.000,6071749863.000 
Stadt Flensburg;00542;Schiffbr¸cke;;527889593.000,6071721498.000 ;527892092.000,6071723997.000 
Stadt Flensburg;00542;Schiffbr¸cke;;527889261.000,6071695044.000 ;527891714.000,6071698452.000 
Stadt Flensburg;00542;Schiffbr¸cke;;527914636.000,6071571394.000 ;527916439.000,6071572250.000 
Stadt Flensburg;00542;Schiffbr¸cke;;527911892.000,6071580552.000 ;527915211.000,6071583085.000 
Stadt Flensburg;00069;Bauer Landstraﬂe;;527098038.000,6072791066.000 ;527093049.000,6072788822.000 
Stadt Flensburg;00069;Bauer Landstraﬂe;;527085612.000,6072761298.000 ;527082550.000,6072762993.000 
Stadt Flensburg;00617;Turnerberg;;527111916.000,6072789027.000 ;527116422.000,6072788436.000 
Stadt Flensburg;00617;Turnerberg;;527113081.000,6072756789.000 ;527105063.000,6072756353.000 
Stadt Flensburg;00617;Turnerberg;;527113208.000,6072728569.000 ;527105314.000,6072730016.000 
Stadt Flensburg;00617;Turnerberg;;527113935.000,6072692573.000 ;527112432.000,6072689583.000 
Stadt Flensburg;00368;Lindenallee;;527105114.000,6072877142.000 ;527107262.000,6072872874.000 
Stadt Flensburg;00368;Lindenallee;;527101128.000,6072844520.000 ;527101930.000,6072845917.000 
Stadt Flensburg;00542;Schiffbr¸cke;;527904965.000,6071501292.000 ;527903472.000,6071498924.000 
Stadt Flensburg;00542;Schiffbr¸cke;;527912047.000,6071476287.000 ;527913027.000,6071476262.000 
Stadt Flensburg;00542;Schiffbr¸cke;;527920566.000,6071458330.000 ;527923065.000,6071460829.000 
Stadt Flensburg;00445;Norderhofenden;;528021761.000,6071359152.000 ;528024260.000,6071361651.000 
Stadt Flensburg;00542;Schiffbr¸cke;;527914621.000,6071613817.000 ;527917407.000,6071614875.000 
Stadt Flensburg;00542;Schiffbr¸cke;;527912545.000,6071647370.000 ;527915793.000,6071649125.000 
Stadt Flensburg;00542;Schiffbr¸cke;;527910555.000,6071666025.000 ;527913054.000,6071668524.000 
Stadt Flensburg;00542;Schiffbr¸cke;;527913709.000,6071630101.000 ;527916942.000,6071629196.000 
Stadt Flensburg;00542;Schiffbr¸cke;;527910929.000,6071602099.000 ;527913428.000,6071604598.000 
Stadt Flensburg;00542;Schiffbr¸cke;;527909416.000,6071682759.000 ;527912083.000,6071683730.000 
Stadt Flensburg;00542;Schiffbr¸cke;;527907289.000,6071716452.000 ;527908025.000,6071718630.000 
Stadt Flensburg;00542;Schiffbr¸cke;;527906204.000,6071733456.000 ;527908703.000,6071735955.000 
Stadt Flensburg;00542;Schiffbr¸cke;;527908637.000,6071699249.000 ;527911136.000,6071701748.000 
Stadt Flensburg;00542;Schiffbr¸cke;;527902610.000,6071783947.000 ;527905399.000,6071784328.000 
Stadt Flensburg;00542;Schiffbr¸cke;;527903454.000,6071766979.000 ;527905953.000,6071769479.000 
Stadt Flensburg;00632;Speicherlinie;20;527910156.000,6071332251.000 ;527903707.000,6071329455.000 
Stadt Flensburg;00632;Speicherlinie;20;527900685.000,6071366550.000 ;527894229.000,6071367164.000 
Stadt Flensburg;00445;Norderhofenden;23;527902137.000,6071401811.000 ;527905783.000,6071400790.000 
Stadt Flensburg;00437;Neustadt;;527183719.000,6072606652.000 ;527179170.000,6072611369.000 
Stadt Flensburg;00046;Apenrader Straﬂe;1;527190413.000,6072648803.000 ;527192101.000,6072649441.000 
Stadt Flensburg;00046;Apenrader Straﬂe;;527185665.000,6072641703.000 ;527187848.000,6072640949.000 
Stadt Flensburg;00046;Apenrader Straﬂe;1;527184308.000,6072639081.000 ;527184742.000,6072637173.000 
Stadt Flensburg;00046;Apenrader Straﬂe;;527192459.000,6072658309.000 ;527187287.000,6072660708.000 
Stadt Flensburg;00597;Terrassenstraﬂe;25;527047096.000,6072946453.000 ;527045627.000,6072942567.000 
Stadt Flensburg;00597;Terrassenstraﬂe;17;527114367.000,6072961226.000 ;527108071.000,6072959678.000 
Stadt Flensburg;00597;Terrassenstraﬂe;21;527081101.000,6072954875.000 ;527082074.000,6072954626.000 
Stadt Flensburg;00010;Alter Kupferm¸hlenweg;8;527026020.000,6072924628.000 ;527025146.000,6072922383.000 
Stadt Flensburg;00010;Alter Kupferm¸hlenweg;8;527038488.000,6072935483.000 ;527039619.000,6072934872.000 
Stadt Flensburg;00581;Strandweg;;527909201.000,6073198200.000 ;527908055.000,6073195023.000 
Stadt Flensburg;00149;Erlenweg;;528391760.000,6071273133.000 ;528389810.000,6071273447.000 
Stadt Flensburg;00149;Erlenweg;;528402737.000,6071246014.000 ;528401667.000,6071246969.000 
Stadt Flensburg;00636;Ulmenstraﬂe;15;528402219.000,6071300940.000 ;528399500.000,6071303708.000 
Stadt Flensburg;00149;Erlenweg;;528376331.000,6071324324.000 ;528377671.000,6071326276.000 
Stadt Flensburg;00149;Erlenweg;;528370387.000,6071358913.000 ;528372733.000,6071357172.000 
Stadt Flensburg;00149;Erlenweg;;528348473.000,6071374536.000 ;528348846.000,6071372224.000 
Stadt Flensburg;00149;Erlenweg;;528329656.000,6071369931.000 ;528329657.000,6071368628.000 
Stadt Flensburg;00298;St.-J¸rgen-Str.;20;528309199.000,6071366114.000 ;528302743.000,6071366145.000 
Stadt Flensburg;00298;St.-J¸rgen-Str.;20;528359075.000,6071378377.000 ;528360880.000,6071378009.000 
Stadt Flensburg;00097;Brixstraﬂe;6;528382301.000,6071467664.000 ;528381553.000,6071469533.000 
Stadt Flensburg;00097;Brixstraﬂe;18;528413289.000,6071382948.000 ;528413042.000,6071384480.000 
Stadt Flensburg;00097;Brixstraﬂe;14;528402140.000,6071412188.000 ;528404088.000,6071411021.000 
Stadt Flensburg;00097;Brixstraﬂe;10;528393018.000,6071436307.000 ;528391831.000,6071438198.000 
Stadt Flensburg;00097;Brixstraﬂe;4;528382880.000,6071491017.000 ;528384703.000,6071490952.000 
Stadt Flensburg;00097;Brixstraﬂe;6;528395389.000,6071536385.000 ;528389757.000,6071534799.000 
Stadt Flensburg;00098;Buchenstraﬂe;5;528402138.000,6071461835.000 ;528403361.000,6071463663.000 
Stadt Flensburg;00098;Buchenstraﬂe;5;528438908.000,6071480722.000 ;528439820.000,6071482624.000 
Stadt Flensburg;00597;Terrassenstraﬂe;13;527148107.000,6072967801.000 ;527148821.000,6072969028.000 
Stadt Flensburg;00407;Michelsenstraﬂe;1;527146121.000,6072985760.000 ;527147534.000,6072983770.000 
Stadt Flensburg;00597;Terrassenstraﬂe;;527244585.000,6072982974.000 ;527243368.000,6072987035.000 
Stadt Flensburg;00597;Terrassenstraﬂe;;527215217.000,6072978796.000 ;527215711.000,6072976153.000 
Stadt Flensburg;00597;Terrassenstraﬂe;;527183149.000,6072973225.000 ;527181493.000,6072979116.000 
Stadt Flensburg;00448;Nordstraﬂe;;528199764.000,6071697348.000 ;528197677.000,6071701223.000 
Stadt Flensburg;00448;Nordstraﬂe;;528230215.000,6071698565.000 ;528227001.000,6071699630.000 
Stadt Flensburg;00448;Nordstraﬂe;;528188193.000,6071684179.000 ;528183470.000,6071685803.000 
Stadt Flensburg;00234;Hafendamm;;528187189.000,6071651630.000 ;528180336.000,6071651048.000 
Stadt Flensburg;00298;St.-J¸rgen-Str.;38;528299359.000,6071444740.000 ;528377405.000,5073433940.000 
Stadt Flensburg;00298;St.-J¸rgen-Str.;39-41;528292558.000,6071430115.000 ;528286417.000,6071427541.000 
Stadt Flensburg;00298;St.-J¸rgen-Str.;30;528297224.000,6071408394.000 ;528299353.000,6071407536.000 
Stadt Flensburg;00298;St.-J¸rgen-Str.;29;528292730.000,6071392779.000 ;528286388.000,6071391830.000 
Stadt Flensburg;00298;St.-J¸rgen-Str.;29;528291994.000,6071366675.000 ;528285358.000,6071366056.000 
Stadt Flensburg;00298;St.-J¸rgen-Str.;27;528296362.000,6071351526.000 ;528298134.000,6071350668.000 
Stadt Flensburg;00298;St.-J¸rgen-Str.;19;528292626.000,6071324859.000 ;528286268.000,6071327069.000 
Stadt Flensburg;00298;St.-J¸rgen-Str.;11;528287878.000,6071298099.000 ;528280755.000,6071296375.000 
Stadt Flensburg;00298;St.-J¸rgen-Str.;10;528294155.000,6071309547.000 ;528296572.000,6071310851.000 
Stadt Flensburg;00298;St.-J¸rgen-Str.;85;528350852.000,6071650972.000 ;528351288.000,6071648190.000 
Stadt Flensburg;00298;St.-J¸rgen-Str.;;528383148.000,6071666237.000 ;528384540.000,6071665545.000 
Stadt Flensburg;00298;St.-J¸rgen-Str.;;528412300.000,6071668316.000 ;528412852.000,6071665518.000 
Stadt Flensburg;00298;St.-J¸rgen-Str.;;528326208.000,6071620341.000 ;528327424.000,6071619181.000 
Stadt Flensburg;00298;St.-J¸rgen-Str.;77a;528322802.000,6071603126.000 ;528323822.000,6071603873.000 
Stadt Flensburg;00141;Eichenstraﬂe;9;528432198.000,6071379475.000 ;528434857.000,6071380798.000 
Stadt Flensburg;00097;Brixstraﬂe;22;528424988.000,6071354335.000 ;528424748.000,6071355981.000 
Stadt Flensburg;00211;Gartenstraﬂe;9;527448257.000,6072179210.000 ;527447651.000,6072181809.000 
Stadt Flensburg;00211;Gartenstraﬂe;9;527428125.000,6072213732.000 ;527424636.000,6072213691.000 
Stadt Flensburg;00010;Alter Kupferm¸hlenweg;;526999898.000,6073048288.000 ;526999232.000,6073047139.000 
Stadt Flensburg;00010;Alter Kupferm¸hlenweg;;527004403.000,6073012165.000 ;527009325.000,6073016430.000 
Stadt Flensburg;00010;Alter Kupferm¸hlenweg;;527023287.000,6073044963.000 ;527019988.000,6073046516.000 
Stadt Flensburg;00010;Alter Kupferm¸hlenweg;;527043744.000,6072967783.000 ;527040956.000,6072970788.000 
Stadt Flensburg;00010;Alter Kupferm¸hlenweg;;527034758.000,6073001475.000 ;527031531.000,6073003887.000 
Stadt Flensburg;00010;Alter Kupferm¸hlenweg;;527008481.000,6072979933.000 ;527010081.000,6072982528.000 
Stadt Flensburg;00010;Alter Kupferm¸hlenweg;;527012475.000,6072952735.000 ;527006451.000,6072951849.000 
Stadt Flensburg;00010;Alter Kupferm¸hlenweg;8;527019586.000,6072916907.000 ;527020551.000,6072915170.000 
Stadt Flensburg;00010;Alter Kupferm¸hlenweg;;527023681.000,6072886353.000 ;527025108.000,6072885856.000 
Stadt Flensburg;00155;An der Bergm¸hle;;526984458.000,6072854884.000 ;526979945.000,6072853164.000 
Stadt Flensburg;00069;Bauer Landstraﬂe;;527082798.000,6072818490.000 ;527085302.000,6072819860.000 
Stadt Flensburg;00069;Bauer Landstraﬂe;35;527016270.000,6072855463.000 ;527010748.000,6072858695.000 
Stadt Flensburg;00069;Bauer Landstraﬂe;;527053045.000,6072836896.000 ;527054868.000,6072836869.000 
Stadt Flensburg;00069;Bauer Landstraﬂe;;526991392.000,6072872440.000 ;526992063.000,6072871497.000 
Stadt Flensburg;00069;Bauer Landstraﬂe;;526966846.000,6072891484.000 ;526967920.000,6072891056.000 
Stadt Flensburg;00069;Bauer Landstraﬂe;;526939498.000,6072912400.000 ;526940080.000,6072911644.000 
Stadt Flensburg;00130;Duburger Straﬂe;22;527453224.000,6072062642.000 ;527452983.000,6072064107.000 
Stadt Flensburg;00130;Duburger Straﬂe;;527485042.000,6072080138.000 ;527485999.000,6072078582.000 
Stadt Flensburg;00130;Duburger Straﬂe;14;527518827.000,6072094554.000 ;527513013.000,6072093493.000 
Stadt Flensburg;00130;Duburger Straﬂe;13;527539877.000,6072098213.000 ;527539453.000,6072099552.000 
Stadt Flensburg;00130;Duburger Straﬂe;9;527572058.000,6072101488.000 ;527573069.000,6072101832.000 
Stadt Flensburg;00130;Duburger Straﬂe;9;527604172.000,6072112203.000 ;527604986.000,6072112662.000 
Stadt Flensburg;00179;Friedastraﬂe;;528290033.000,6071702410.000 ;528284039.000,6071699996.000 
Stadt Flensburg;00179;Friedastraﬂe;3;528313992.000,6071675747.000 ;528305958.000,6071679381.000 
Stadt Flensburg;00179;Friedastraﬂe;7;528334799.000,6071683108.000 ;528336301.000,6071679218.000 
Stadt Flensburg;00179;Friedastraﬂe;11;528366414.000,6071699900.000 ;528360522.000,6071695581.000 
Stadt Flensburg;00179;Friedastraﬂe;11;528393732.000,6071707226.000 ;528394197.000,6071705612.000 
Stadt Flensburg;00179;Friedastraﬂe;11;528412521.000,6071701346.000 ;528405961.000,6071702616.000 
Stadt Flensburg;00298;St.-J¸rgen-Str.;;528440268.000,6071676893.000 ;528442725.000,6071680721.000 
Stadt Flensburg;00298;St.-J¸rgen-Str.;99;528474284.000,6071683872.000 ;528471440.000,6071680668.000 
Stadt Flensburg;00296;J¸rgensgaarder Straﬂe;;528433578.000,6071656748.000 ;528432488.000,6071650927.000 
Stadt Flensburg;00298;St.-J¸rgen-Str.;;528457872.000,6071692079.000 ;528457265.000,6071689857.000 
Stadt Flensburg;00180;Friedatreppe;;528425101.000,6071712339.000 ;528417912.000,6071713272.000 
Stadt Flensburg;00027;Am Nordertor;;527664012.000,6072134033.000 ;527660727.000,6072134495.000 
Stadt Flensburg;00437;Neustadt;;527509231.000,6072273276.000 ;527506629.000,6072274553.000 
Stadt Flensburg;00437;Neustadt;;527482096.000,6072299428.000 ;527479147.000,6072300777.000 
Stadt Flensburg;00437;Neustadt;;527453611.000,6072325857.000 ;527450322.000,6072327550.000 
Stadt Flensburg;00437;Neustadt;;527425918.000,6072352633.000 ;527426551.000,6072351455.000 
Stadt Flensburg;00661;Werftstraﬂe;;527505740.000,6072379559.000 ;527503615.000,6072380812.000 
Stadt Flensburg;00298;St.-J¸rgen-Str.;6;528294854.000,6071285644.000 ;528297236.000,6071286979.000 
Stadt Flensburg;00298;St.-J¸rgen-Str.;4;528297238.000,6071271624.000 ;528294833.000,6071277958.000 
Stadt Flensburg;00298;St.-J¸rgen-Str.;7;528288861.000,6071280686.000 ;528290939.000,6071280755.000 
Stadt Flensburg;00448;Nordstraﬂe;;528176251.000,6071714004.000 ;528176195.000,6071715496.000 
Stadt Flensburg;00448;Nordstraﬂe;;528173354.000,6071753961.000 ;528172766.000,6071755173.000 
Stadt Flensburg;00448;Nordstraﬂe;;528193131.000,6071735253.000 ;528185886.000,6071735271.000 
Stadt Flensburg;00637;Unterer Lautrupweg;2;528227451.000,6071852009.000 ;528226595.000,6071853744.000 
Stadt Flensburg;00637;Unterer Lautrupweg;6;528254148.000,6071843880.000 ;528254786.000,6071841810.000 
Stadt Flensburg;00065;Ballastbr¸cke;;528254473.000,6071979183.000 ;528248442.000,6071976574.000 
Stadt Flensburg;00065;Ballastbr¸cke;;528243973.000,6071962040.000 ;528237341.000,6071961386.000 
Stadt Flensburg;00065;Ballastbr¸cke;;528236040.000,6071917296.000 ;528231233.000,6071914949.000 
Stadt Flensburg;00637;Unterer Lautrupweg;6;528228772.000,6071884928.000 ;528219346.000,6071882884.000 
Stadt Flensburg;00637;Unterer Lautrupweg;6;528242709.000,6071938400.000 ;528234107.000,6071938831.000 
Stadt Flensburg;00065;Ballastbr¸cke;;528242495.000,6071999577.000 ;528235876.000,6071998946.000 
Stadt Flensburg;00495;Ramsharde;70;526563570.000,6073448287.000 ;526563385.000,6073445001.000 
Stadt Flensburg;00495;Ramsharde;70;526595548.000,6073470199.000 ;526595620.000,6073468147.000 
Stadt Flensburg;00495;Ramsharde;70;526621971.000,6073490071.000 ;526623254.000,6073490202.000 
Stadt Flensburg;00661;Werftstraﬂe;;527484820.000,6072409694.000 ;527485841.000,6072408567.000 
Stadt Flensburg;00661;Werftstraﬂe;;527469426.000,6072444711.000 ;527470926.000,6072443548.000 
Stadt Flensburg;00661;Werftstraﬂe;;527462488.000,6072438510.000 ;527463405.000,6072436682.000 
Stadt Flensburg;00092;Brauereiweg;;527434232.000,6072678860.000 ;527430166.000,6072680705.000 
Stadt Flensburg;00092;Brauereiweg;;527535467.000,6072789685.000 ;527537663.000,6072792331.000 
Stadt Flensburg;00092;Brauereiweg;;527524735.000,6072723231.000 ;527528125.000,6072725655.000 
Stadt Flensburg;00092;Brauereiweg;;527526246.000,6072693273.000 ;527528745.000,6072695772.000 
Stadt Flensburg;00092;Brauereiweg;;527528065.000,6072663339.000 ;527530564.000,6072665838.000 
Stadt Flensburg;00092;Brauereiweg;;527460636.000,6072741397.000 ;527461639.000,6072740797.000 
Stadt Flensburg;00092;Brauereiweg;;527451260.000,6072706429.000 ;527445004.000,6072705686.000 
Stadt Flensburg;00581;Strandweg;;527620467.000,6073012631.000 ;527621568.000,6073011227.000 
Stadt Flensburg;00581;Strandweg;;527648225.000,6073021824.000 ;527648008.000,6073019460.000 
Stadt Flensburg;00681;Zur Bleiche;;527696447.000,6069409316.000 ;527698946.000,6069411815.000 
Stadt Flensburg;00065;Ballastbr¸cke;;528264428.000,6071956132.000 ;528256341.000,6071954204.000 
Stadt Flensburg;00065;Ballastbr¸cke;6;528270847.000,6071923655.000 ;528263292.000,6071922631.000 
Stadt Flensburg;00065;Ballastbr¸cke;6;528277166.000,6071891276.000 ;528277880.000,6071889702.000 
Stadt Flensburg;00023;Am Lautrupsbach;;528303731.000,6071853458.000 ;528301806.000,6071854320.000 
Stadt Flensburg;00023;Am Lautrupsbach;2;528332756.000,6071861658.000 ;528326452.000,6071860280.000 
Stadt Flensburg;00023;Am Lautrupsbach;2;528365905.000,6071860279.000 ;528367083.000,6071859614.000 
Stadt Flensburg;00023;Am Lautrupsbach;2;528398054.000,6071852890.000 ;528391509.000,6071854019.000 
Stadt Flensburg;00023;Am Lautrupsbach;2;528192732.000,6071770025.000 ;528184348.000,6071767873.000 
Stadt Flensburg;00637;Unterer Lautrupweg;;528215019.000,6071766816.000 ;528213082.000,6071768548.000 
Stadt Flensburg;00065;Ballastbr¸cke;;528223116.000,6071987580.000 ;528225353.000,6071986936.000 
Stadt Flensburg;00065;Ballastbr¸cke;;528218505.000,6071954861.000 ;528219431.000,6071954200.000 
Stadt Flensburg;00065;Ballastbr¸cke;;528210738.000,6071917372.000 ;528211608.000,6071916780.000 
Stadt Flensburg;00065;Ballastbr¸cke;;528184077.000,6071839482.000 ;528183385.000,6071832658.000 
Stadt Flensburg;00065;Ballastbr¸cke;;528184552.000,6071845033.000 ;528187160.000,6071844536.000 
Stadt Flensburg;00559;Schwarzer Weg;20;526748856.000,6073381967.000 ;526751082.000,6073379451.000 
Stadt Flensburg;00559;Schwarzer Weg;;526768700.000,6073357373.000 ;526770071.000,6073357883.000 
Stadt Flensburg;00559;Schwarzer Weg;;526787682.000,6073330712.000 ;526786876.000,6073332527.000 
Stadt Flensburg;00671;Wotanweg;52;526863229.000,6073397644.000 ;526858024.000,6073395162.000 
Stadt Flensburg;00671;Wotanweg;49;526882003.000,6073384482.000 ;526878084.000,6073388858.000 
